Number,Question,Answer1,Answer2,DOI,Year,Author,Comments
1,Is there an MPM in original paper?,yes,,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
2,Organism,fish,,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
3,Do they model an observation process for survival?,no,log-linear method,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
4,Do they model an observation process for fecundity?,no,mean number of larve,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
5,Was uncertainty reported?,yes,mcmc confidence interval for lambda,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
6,"If reported, was the uncertainty complete for all parameters?",no,survival reproduction,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"three populations are around 1, the other is increasing",doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,larvae and zero age survival is most imporant,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
9,Pre or post breeding census,pre,,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
10,Life cycle correctly estimated?,no,,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
11,What is error if one found?,"larvae stage and age = 0, both shorter than 1 year",,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
12,What metric used for fecundity?,number of larvae,,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
13,Sample size,190,total pregnant females for reproduction,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,
,,,,,,,
1,Is there an MPM in original paper?,yes,,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
2,Organism,sponge,,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
3,Do they model an observation process for survival?,no,calculated from one year of observation,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
4,Do they model an observation process for fecundity?,no,calculated from one year of observation,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
5,Was uncertainty reported?,yes,bootstrap confidence interval for lambda,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
6,"If reported, was the uncertainty complete for all parameters?",no,survival reproduction,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
7,Was lambda estimated from matrix? If yes what conclusion,yes,all decreasing significantly,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,surviving and remaining in same size class = most important,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
9,Pre or post breeding census,can't tell,,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
10,Life cycle correctly estimated?,yes,,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
11,What is error if one found?,NA,should maybe have been IPM as size,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
12,What metric used for fecundity?,recruits,,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,
13,Sample size,226,total sponges across two sites,,,,
,,,,,,,
1,Is there an MPM in original paper?,yes,,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,This study states that some nesting attempts would be missed but did fledge and likely unbalanced missing i.e. biased by habitat and condition
2,Organism,bird,black-capped vireo,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,Also had two datasets of fecundity and then resightings for survival
3,Do they model an observation process for survival?,yes,mark recapture analysis,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,popbio
4,Do they model an observation process for fecundity?,yes,accounted for nest success probability,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
5,Was uncertainty reported?,yes,standard error for survival and reproduction,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
6,"If reported, was the uncertainty complete for all parameters?",yes,,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
7,Was lambda estimated from matrix? If yes what conclusion,no,stochastic growth rate and QEP50,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,deterministic and stochastic growth rates
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,population decline sites were most sensitive to changes in fecundity and adult survival,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
9,Pre or post breeding census,can't tell,,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
10,Life cycle correctly estimated?,NA,,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
11,What is error if one found?,NA,,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
12,What metric used for fecundity?,mean number of female offspring per adult female calculated from nest survival and assumptions of behaviour,,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
13,Sample size,3147,vireo nestlings + territorial adult vireos banded,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,
,,,,,,,
1,Is there an MPM in original paper?,yes,,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
2,Organism,bird,kaki,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
3,Do they model an observation process for survival?,yes,"Bayesian CJS model for adult survival, mean survivorship calculated directly for others",http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,open population
4,Do they model an observation process for fecundity?,no,estimated from 19 clutches and then tested different scenarios of fecundity,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
5,Was uncertainty reported?,yes,credible intervals for adult survival only,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
6,"If reported, was the uncertainty complete for all parameters?",no,some survival reproduction,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
7,Was lambda estimated from matrix? If yes what conclusion,yes,declining under all but most optimistic adult survival ,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,most sensitive to adult survival. ,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
9,Pre or post breeding census,post,,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
